"st_fips","state","variable","estimate","moe","year","sex","marital_status","age"
"01","Alabama","B12002_083",1692,604,2013,"M","Divorced","20-24"
"01","Alabama","B12002_084",6439,1291,2013,"M","Divorced","25-29"
"01","Alabama","B12002_085",12807,2023,2013,"M","Divorced","30-34"
"01","Alabama","B12002_086",18960,2490,2013,"M","Divorced","35-39"
"01","Alabama","B12002_087",25816,2799,2013,"M","Divorced","40-44"
"01","Alabama","B12002_088",29474,2771,2013,"M","Divorced","45-49"
"01","Alabama","B12002_089",32837,2772,2013,"M","Divorced","50-54"
"01","Alabama","B12002_090",33009,2427,2013,"M","Divorced","55-59"
"01","Alabama","B12002_091",24427,2656,2013,"M","Divorced","60-64"
"01","Alabama","B12002_092",22377,2293,2013,"M","Divorced","65-74"
"01","Alabama","B12002_093",6297,1064,2013,"M","Divorced","75-84"
"01","Alabama","B12002_094",1864,764,2013,"M","Divorced","85+"
"01","Alabama","B12002_097",92715,2654,2013,"F","Never Married","15-17"
"01","Alabama","B12002_098",69861,3066,2013,"F","Never Married","18-19"
"01","Alabama","B12002_099",139948,4140,2013,"F","Never Married","20-24"
"01","Alabama","B12002_100",74051,3765,2013,"F","Never Married","25-29"
"01","Alabama","B12002_101",48941,3097,2013,"F","Never Married","30-34"
"01","Alabama","B12002_102",34738,3438,2013,"F","Never Married","35-39"
"01","Alabama","B12002_103",24933,2456,2013,"F","Never Married","40-44"
"01","Alabama","B12002_104",19066,2060,2013,"F","Never Married","45-49"
"01","Alabama","B12002_105",18403,2315,2013,"F","Never Married","50-54"
"01","Alabama","B12002_106",13825,1958,2013,"F","Never Married","55-59"
"01","Alabama","B12002_107",9097,1963,2013,"F","Never Married","60-64"
"01","Alabama","B12002_108",9107,1300,2013,"F","Never Married","65-74"
"01","Alabama","B12002_109",4062,961,2013,"F","Never Married","75-84"
"01","Alabama","B12002_110",1320,442,2013,"F","Never Married","85+"
"01","Alabama","B12002_113",260,278,2013,"F","Married","15-17"
"01","Alabama","B12002_114",836,437,2013,"F","Married","18-19"
"01","Alabama","B12002_115",22384,2141,2013,"F","Married","20-24"
"01","Alabama","B12002_116",58935,3764,2013,"F","Married","25-29"
"01","Alabama","B12002_117",73283,3848,2013,"F","Married","30-34"
"01","Alabama","B12002_118",81080,4006,2013,"F","Married","35-39"
"01","Alabama","B12002_119",87643,4058,2013,"F","Married","40-44"
"01","Alabama","B12002_120",97325,3752,2013,"F","Married","45-49"
"01","Alabama","B12002_121",101215,3964,2013,"F","Married","50-54"
"01","Alabama","B12002_122",102991,4546,2013,"F","Married","55-59"
"01","Alabama","B12002_123",84772,4052,2013,"F","Married","60-64"
"01","Alabama","B12002_124",115544,3737,2013,"F","Married","65-74"
"01","Alabama","B12002_125",42100,2821,2013,"F","Married","75-84"
"01","Alabama","B12002_126",5920,886,2013,"F","Married","85+"
"01","Alabama","B12002_129",146,189,2013,"F","Separated","15-17"
"01","Alabama","B12002_130",21,30,2013,"F","Separated","18-19"
"01","Alabama","B12002_131",2192,666,2013,"F","Separated","20-24"
"01","Alabama","B12002_132",5528,1177,2013,"F","Separated","25-29"
"01","Alabama","B12002_133",7175,1288,2013,"F","Separated","30-34"
"01","Alabama","B12002_134",8697,1699,2013,"F","Separated","35-39"
"01","Alabama","B12002_135",9076,1785,2013,"F","Separated","40-44"
"01","Alabama","B12002_136",6876,1559,2013,"F","Separated","45-49"
"01","Alabama","B12002_137",6774,1433,2013,"F","Separated","50-54"
"01","Alabama","B12002_138",4553,968,2013,"F","Separated","55-59"
"01","Alabama","B12002_139",4087,893,2013,"F","Separated","60-64"
"01","Alabama","B12002_140",3192,870,2013,"F","Separated","65-74"
"01","Alabama","B12002_141",749,487,2013,"F","Separated","75-84"
"01","Alabama","B12002_142",433,382,2013,"F","Separated","85+"
"01","Alabama","B12002_159",147,203,2013,"F","Widowed","15-17"
"01","Alabama","B12002_160",0,192,2013,"F","Widowed","18-19"
"01","Alabama","B12002_161",747,593,2013,"F","Widowed","20-24"
"01","Alabama","B12002_162",444,327,2013,"F","Widowed","25-29"
"01","Alabama","B12002_163",1337,554,2013,"F","Widowed","30-34"
"01","Alabama","B12002_164",3129,1317,2013,"F","Widowed","35-39"
"01","Alabama","B12002_165",2453,820,2013,"F","Widowed","40-44"
"01","Alabama","B12002_166",3447,1015,2013,"F","Widowed","45-49"
"01","Alabama","B12002_167",8851,1644,2013,"F","Widowed","50-54"
"01","Alabama","B12002_168",15291,1910,2013,"F","Widowed","55-59"
"01","Alabama","B12002_169",19766,2208,2013,"F","Widowed","60-64"
"01","Alabama","B12002_170",60083,3354,2013,"F","Widowed","65-74"
"01","Alabama","B12002_171",69512,3470,2013,"F","Widowed","75-84"
"01","Alabama","B12002_172",44443,2974,2013,"F","Widowed","85+"
"01","Alabama","B12002_174",0,192,2013,"F","Divorced","15-17"
"01","Alabama","B12002_175",55,91,2013,"F","Divorced","18-19"
"01","Alabama","B12002_176",4355,1231,2013,"F","Divorced","20-24"
"01","Alabama","B12002_177",11196,1600,2013,"F","Divorced","25-29"
"01","Alabama","B12002_178",18045,2394,2013,"F","Divorced","30-34"
"01","Alabama","B12002_179",25296,3084,2013,"F","Divorced","35-39"
"01","Alabama","B12002_180",30745,2691,2013,"F","Divorced","40-44"
"01","Alabama","B12002_181",30537,2787,2013,"F","Divorced","45-49"
"01","Alabama","B12002_182",38364,3062,2013,"F","Divorced","50-54"
"01","Alabama","B12002_183",33350,2863,2013,"F","Divorced","55-59"
"01","Alabama","B12002_184",30717,3120,2013,"F","Divorced","60-64"
"01","Alabama","B12002_185",36252,2423,2013,"F","Divorced","65-74"
"01","Alabama","B12002_186",11112,1281,2013,"F","Divorced","75-84"
"01","Alabama","B12002_187",3503,874,2013,"F","Divorced","85+"
"01","Alabama","B12002_004",98065,2592,2015,"M","Never Married","15-17"
"01","Alabama","B12002_005",66676,2941,2015,"M","Never Married","18-19"
"01","Alabama","B12002_006",151462,3978,2015,"M","Never Married","20-24"
"01","Alabama","B12002_007",97094,4402,2015,"M","Never Married","25-29"
"01","Alabama","B12002_008",64205,4505,2015,"M","Never Married","30-34"
"01","Alabama","B12002_009",42746,3653,2015,"M","Never Married","35-39"
"01","Alabama","B12002_010",27919,2483,2015,"M","Never Married","40-44"
"01","Alabama","B12002_011",22687,2290,2015,"M","Never Married","45-49"
"01","Alabama","B12002_012",25019,2794,2015,"M","Never Married","50-54"
"01","Alabama","B12002_013",20210,2285,2015,"M","Never Married","55-59"
"01","Alabama","B12002_014",13533,2037,2015,"M","Never Married","60-64"
"01","Alabama","B12002_015",10741,1473,2015,"M","Never Married","65-74"
"01","Alabama","B12002_016",2714,803,2015,"M","Never Married","75-84"
"01","Alabama","B12002_017",732,350,2015,"M","Never Married","85+"
"01","Alabama","B12002_020",73,87,2015,"M","Married","15-17"
"01","Alabama","B12002_021",81,101,2015,"M","Married","18-19"
"01","Alabama","B12002_022",11950,1673,2015,"M","Married","20-24"
"01","Alabama","B12002_023",42406,3308,2015,"M","Married","25-29"
"01","Alabama","B12002_024",63408,3776,2015,"M","Married","30-34"
"01","Alabama","B12002_025",77816,3955,2015,"M","Married","35-39"
"01","Alabama","B12002_026",88728,4258,2015,"M","Married","40-44"
"01","Alabama","B12002_027",87697,3165,2015,"M","Married","45-49"
"01","Alabama","B12002_028",94439,3054,2015,"M","Married","50-54"
"01","Alabama","B12002_029",95760,4648,2015,"M","Married","55-59"
"01","Alabama","B12002_030",93984,4583,2015,"M","Married","60-64"
"01","Alabama","B12002_031",147721,3175,2015,"M","Married","65-74"
"01","Alabama","B12002_032",65032,2329,2015,"M","Married","75-84"
"01","Alabama","B12002_033",13497,1526,2015,"M","Married","85+"
"01","Alabama","B12002_036",73,136,2015,"M","Separated","15-17"
"01","Alabama","B12002_037",6,9,2015,"M","Separated","18-19"
"01","Alabama","B12002_038",571,345,2015,"M","Separated","20-24"
"01","Alabama","B12002_039",2554,900,2015,"M","Separated","25-29"
"01","Alabama","B12002_040",3968,1236,2015,"M","Separated","30-34"
"01","Alabama","B12002_041",5454,1333,2015,"M","Separated","35-39"
"01","Alabama","B12002_042",5071,1337,2015,"M","Separated","40-44"
"01","Alabama","B12002_043",4953,1313,2015,"M","Separated","45-49"
"01","Alabama","B12002_044",5222,1099,2015,"M","Separated","50-54"
"01","Alabama","B12002_045",4461,1016,2015,"M","Separated","55-59"
"01","Alabama","B12002_046",3764,1103,2015,"M","Separated","60-64"
"01","Alabama","B12002_047",2440,716,2015,"M","Separated","65-74"
"01","Alabama","B12002_048",417,237,2015,"M","Separated","75-84"
"01","Alabama","B12002_049",94,134,2015,"M","Separated","85+"
"01","Alabama","B12002_066",0,192,2015,"M","Widowed","15-17"
"01","Alabama","B12002_067",0,192,2015,"M","Widowed","18-19"
"01","Alabama","B12002_068",50,89,2015,"M","Widowed","20-24"
"01","Alabama","B12002_069",309,364,2015,"M","Widowed","25-29"
"01","Alabama","B12002_070",410,331,2015,"M","Widowed","30-34"
"01","Alabama","B12002_071",225,321,2015,"M","Widowed","35-39"
"01","Alabama","B12002_072",465,293,2015,"M","Widowed","40-44"
"01","Alabama","B12002_073",1700,595,2015,"M","Widowed","45-49"
"01","Alabama","B12002_074",3394,1103,2015,"M","Widowed","50-54"
"01","Alabama","B12002_075",4397,1129,2015,"M","Widowed","55-59"
"01","Alabama","B12002_076",5777,1480,2015,"M","Widowed","60-64"
"01","Alabama","B12002_077",16011,1860,2015,"M","Widowed","65-74"
"01","Alabama","B12002_078",15395,1610,2015,"M","Widowed","75-84"
"01","Alabama","B12002_079",8787,1536,2015,"M","Widowed","85+"
"01","Alabama","B12002_081",0,192,2015,"M","Divorced","15-17"
"01","Alabama","B12002_082",0,192,2015,"M","Divorced","18-19"
"01","Alabama","B12002_083",1567,568,2015,"M","Divorced","20-24"
"01","Alabama","B12002_084",8429,1608,2015,"M","Divorced","25-29"
"01","Alabama","B12002_085",14557,1914,2015,"M","Divorced","30-34"
