"st_fips","state","estimate","moe","year","child_age","child_parent"
2,"Alaska",2201,896,2015,"03-04","Single Parent (Dad)"
2,"Alaska",617,413,2015,"05","Single Parent (Dad)"
2,"Alaska",5443,1501,2015,"06-11","Single Parent (Dad)"
2,"Alaska",5617,1162,2015,"12-17","Single Parent (Dad)"
2,"Alaska",4557,1190,2015,"00-02","Single Parent (Mom)"
2,"Alaska",3387,966,2015,"03-04","Single Parent (Mom)"
2,"Alaska",1821,671,2015,"05","Single Parent (Mom)"
2,"Alaska",11633,1641,2015,"06-11","Single Parent (Mom)"
2,"Alaska",12188,2097,2015,"12-17","Single Parent (Mom)"
2,"Alaska",22030,1695,2017,"00-02","Married Couple"
2,"Alaska",13903,1461,2017,"03-04","Married Couple"
2,"Alaska",7808,1818,2017,"05","Married Couple"
2,"Alaska",41226,2564,2017,"06-11","Married Couple"
2,"Alaska",35702,2421,2017,"12-17","Married Couple"
2,"Alaska",1719,660,2017,"00-02","Single Parent (Dad)"
2,"Alaska",1062,439,2017,"03-04","Single Parent (Dad)"
2,"Alaska",1003,606,2017,"05","Single Parent (Dad)"
2,"Alaska",4132,780,2017,"06-11","Single Parent (Dad)"
2,"Alaska",4491,1250,2017,"12-17","Single Parent (Dad)"
2,"Alaska",3544,906,2017,"00-02","Single Parent (Mom)"
2,"Alaska",2907,767,2017,"03-04","Single Parent (Mom)"
2,"Alaska",1211,386,2017,"05","Single Parent (Mom)"
2,"Alaska",9329,1736,2017,"06-11","Single Parent (Mom)"
2,"Alaska",11217,2074,2017,"12-17","Single Parent (Mom)"
2,"Alaska",20491,1582,2019,"00-02","Married Couple"
2,"Alaska",13082,1778,2019,"03-04","Married Couple"
2,"Alaska",8040,1458,2019,"05","Married Couple"
2,"Alaska",40360,2645,2019,"06-11","Married Couple"
2,"Alaska",32446,2699,2019,"12-17","Married Couple"
2,"Alaska",2250,807,2019,"00-02","Single Parent (Dad)"
2,"Alaska",1313,511,2019,"03-04","Single Parent (Dad)"
2,"Alaska",544,269,2019,"05","Single Parent (Dad)"
2,"Alaska",6651,1710,2019,"06-11","Single Parent (Dad)"
2,"Alaska",4707,1458,2019,"12-17","Single Parent (Dad)"
2,"Alaska",3589,975,2019,"00-02","Single Parent (Mom)"
2,"Alaska",2346,732,2019,"03-04","Single Parent (Mom)"
2,"Alaska",1373,551,2019,"05","Single Parent (Mom)"
2,"Alaska",9783,2033,2019,"06-11","Single Parent (Mom)"
2,"Alaska",8463,1779,2019,"12-17","Single Parent (Mom)"
2,"Alaska",18464,1917,2021,"00-02","Married Couple"
2,"Alaska",11689,1830,2021,"03-04","Married Couple"
2,"Alaska",7773,1623,2021,"05","Married Couple"
2,"Alaska",37487,2439,2021,"06-11","Married Couple"
2,"Alaska",37240,3562,2021,"12-17","Married Couple"
2,"Alaska",1605,613,2021,"00-02","Single Parent (Dad)"
2,"Alaska",562,445,2021,"03-04","Single Parent (Dad)"
2,"Alaska",242,214,2021,"05","Single Parent (Dad)"
2,"Alaska",4304,1128,2021,"06-11","Single Parent (Dad)"
2,"Alaska",4475,1376,2021,"12-17","Single Parent (Dad)"
2,"Alaska",2836,936,2021,"00-02","Single Parent (Mom)"
2,"Alaska",3524,1007,2021,"03-04","Single Parent (Mom)"
2,"Alaska",2044,872,2021,"05","Single Parent (Mom)"
2,"Alaska",11675,2404,2021,"06-11","Single Parent (Mom)"
2,"Alaska",11002,2182,2021,"12-17","Single Parent (Mom)"
2,"Alaska",16924,2103,2023,"00-02","Married Couple"
2,"Alaska",12970,1799,2023,"03-04","Married Couple"
2,"Alaska",6495,1366,2023,"05","Married Couple"
2,"Alaska",38041,3201,2023,"06-11","Married Couple"
2,"Alaska",35291,2549,2023,"12-17","Married Couple"
2,"Alaska",1590,741,2023,"00-02","Single Parent (Dad)"
